experiment_id,dataset,num_gpus,strategy,model_name,dataset_fraction,batch_size,num_iterations,dim,n_layers,n_heads,total_time_s,training_time_s,dataset_size_bytes,success,error_msg,gpu_0_max_util_%,gpu_0_max_mem_mib,gpu_1_max_util_%,gpu_1_max_mem_mib
1,bookcorpus,1,SingleGPU,small,0.05,16,128,256,2,16,37.72683763504028,5.91,4835329162,True,,79,2231,,
2,bookcorpus,1,SingleGPU,small,0.05,16,512,256,2,16,31.36623477935791,20.6374,4835329162,True,,97,2231,,
3,bookcorpus,1,SingleGPU,small,0.05,16,1024,256,2,16,37.62635827064514,27.7372,4835329162,True,,97,2231,,
4,bookcorpus,1,SingleGPU,small,0.05,32,128,256,2,16,16.98214817047119,6.9189,4835329162,True,,99,3967,,
5,bookcorpus,1,SingleGPU,small,0.05,32,512,256,2,16,34.75535845756531,25.097,4835329162,True,,99,3967,,
6,bookcorpus,1,SingleGPU,small,0.05,32,1024,256,2,16,60.03653645515442,50.2599,4835329162,True,,99,3967,,
7,bookcorpus,1,SingleGPU,small,0.05,64,128,256,2,16,22.47016429901123,12.5031,4835329162,True,,100,7307,,
8,bookcorpus,1,SingleGPU,small,0.05,64,512,256,2,16,56.894293546676636,47.2284,4835329162,True,,100,7307,,
9,bookcorpus,1,SingleGPU,small,0.05,64,1024,256,2,16,107.72015047073364,97.5615,4835329162,True,,100,7307,,
10,bookcorpus,1,SingleGPU,base,0.05,16,128,512,4,32,23.686320304870605,12.7455,4835329162,True,,100,3043,,
11,bookcorpus,1,SingleGPU,base,0.05,16,512,512,4,32,51.18453669548035,40.7817,4835329162,True,,100,3043,,
12,bookcorpus,1,SingleGPU,base,0.05,16,1024,512,4,32,90.58129119873047,78.2572,4835329162,True,,100,3043,,
13,bookcorpus,1,SingleGPU,base,0.05,32,128,512,4,32,29.219831228256226,18.6566,4835329162,True,,100,5195,,
14,bookcorpus,1,SingleGPU,base,0.05,32,512,512,4,32,82.75261616706848,72.3904,4835329162,True,,100,5195,,
15,bookcorpus,1,SingleGPU,base,0.05,32,1024,512,4,32,158.18991231918335,147.206,4835329162,True,,100,5195,,
16,bookcorpus,1,SingleGPU,base,0.05,64,128,512,4,32,45.92484927177429,35.2398,4835329162,True,,100,9651,,
17,bookcorpus,1,SingleGPU,base,0.05,64,512,512,4,32,150.0780942440033,139.6334,4835329162,True,,100,9651,,
18,bookcorpus,1,SingleGPU,base,0.05,64,1024,512,4,32,292.54831409454346,281.7772,4835329162,True,,100,9651,,
19,bookcorpus,1,SingleGPU,large,0.05,16,128,1024,8,64,75.09220600128174,43.2485,4835329162,True,,100,7053,,
20,bookcorpus,1,SingleGPU,large,0.05,16,512,1024,8,64,185.87244248390198,172.751,4835329162,True,,100,7053,,
21,bookcorpus,1,SingleGPU,large,0.05,16,1024,1024,8,64,357.1520800590515,344.389,4835329162,True,,100,7053,,
22,bookcorpus,1,SingleGPU,large,0.05,32,128,1024,8,64,94.53041863441467,81.9554,4835329162,True,,100,10839,,
23,bookcorpus,1,SingleGPU,large,0.05,32,512,1024,8,64,341.2988440990448,328.5469,4835329162,True,,100,10839,,
24,bookcorpus,1,SingleGPU,large,0.05,32,1024,1024,8,64,669.827821969986,656.9567,4835329162,True,,100,10839,,
25,bookcorpus,1,SingleGPU,large,0.05,64,128,1024,8,64,175.48118424415588,162.5856,4835329162,True,,100,18407,,
26,bookcorpus,1,SingleGPU,large,0.05,64,512,1024,8,64,665.055184841156,652.1391,4835329162,True,,100,18407,,
27,bookcorpus,1,SingleGPU,large,0.05,64,1024,1024,8,64,1330.9826278686523,1303.8023,4835329162,True,,100,18407,,
28,bookcorpus,2,DP,small,0.05,16,128,256,2,16,35.166584730148315,6.3937,4835329162,True,,92,2491,93.0,2491.0
29,bookcorpus,2,TP,small,0.05,16,128,256,2,16,65.53509140014648,15.6775,4835329162,True,,45,2959,78.0,2955.0
30,bookcorpus,2,DP,small,0.05,16,512,256,2,16,42.45492649078369,23.245,4835329162,True,,93,2491,93.0,2491.0
31,bookcorpus,2,TP,small,0.05,16,512,256,2,16,104.61957168579102,61.3707,4835329162,True,,91,2939,87.0,2975.0
32,bookcorpus,2,DP,small,0.05,16,1024,256,2,16,59.66792917251587,39.4777,4835329162,True,,94,2491,93.0,2491.0
33,bookcorpus,2,TP,small,0.05,16,1024,256,2,16,158.3180902004242,113.4027,4835329162,True,,98,2959,59.0,2955.0
34,bookcorpus,2,DP,small,0.05,32,128,256,2,16,28.744473218917847,8.6066,4835329162,True,,97,4207,97.0,4207.0
35,bookcorpus,2,TP,small,0.05,32,128,256,2,16,59.285683393478394,13.8942,4835329162,True,,79,5301,100.0,5357.0
36,bookcorpus,2,DP,small,0.05,32,512,256,2,16,48.973851919174194,29.8783,4835329162,True,,98,4207,97.0,4207.0
37,bookcorpus,2,TP,small,0.05,32,512,256,2,16,92.37877368927002,49.2522,4835329162,True,,90,5321,98.0,5317.0
38,bookcorpus,2,DP,small,0.05,32,1024,256,2,16,86.3683111667633,58.4604,4835329162,True,,97,4207,97.0,4207.0
39,bookcorpus,2,TP,small,0.05,32,1024,256,2,16,156.17332983016968,112.505,4835329162,True,,94,5301,86.0,5357.0
40,bookcorpus,2,DP,small,0.05,64,128,256,2,16,33.450223445892334,14.0581,4835329162,True,,99,7567,99.0,7567.0
41,bookcorpus,2,TP,small,0.05,64,128,256,2,16,64.57177996635437,20.8321,4835329162,True,,92,10041,91.0,10129.0
42,bookcorpus,2,DP,small,0.05,64,512,256,2,16,75.12836194038391,54.7734,4835329162,True,,100,7567,100.0,7567.0
43,bookcorpus,2,TP,small,0.05,64,512,256,2,16,120.7782232761383,77.7029,4835329162,True,,100,10113,91.0,10057.0
44,bookcorpus,2,DP,small,0.05,64,1024,256,2,16,125.0418791770935,105.2512,4835329162,True,,100,7567,99.0,7567.0
45,bookcorpus,2,TP,small,0.05,64,1024,256,2,16,208.5185215473175,161.4645,4835329162,True,,95,10113,94.0,10057.0
46,bookcorpus,2,DP,base,0.05,16,128,512,4,32,33.62048673629761,12.8677,4835329162,True,,98,3451,97.0,3451.0
47,bookcorpus,2,TP,base,0.05,16,128,512,4,32,66.96422481536865,23.5339,4835329162,True,,97,3323,99.0,3379.0
48,bookcorpus,2,DP,base,0.05,16,512,512,4,32,67.275146484375,46.4287,4835329162,True,,98,3451,98.0,3451.0
49,bookcorpus,2,TP,base,0.05,16,512,512,4,32,136.89700198173523,93.0717,4835329162,True,,99,3355,99.0,3339.0
50,bookcorpus,2,DP,base,0.05,16,1024,512,4,32,111.82252717018127,91.0379,4835329162,True,,98,3451,98.0,3451.0
51,bookcorpus,2,TP,base,0.05,16,1024,512,4,32,225.0452744960785,181.8869,4835329162,True,,98,3363,99.0,3339.0
52,bookcorpus,2,DP,base,0.05,32,128,512,4,32,42.27870583534241,21.2008,4835329162,True,,99,5655,99.0,5655.0
53,bookcorpus,2,TP,base,0.05,32,128,512,4,32,67.46617341041565,23.7826,4835329162,True,,80,6045,99.0,6065.0
54,bookcorpus,2,DP,base,0.05,32,512,512,4,32,101.68708753585815,80.1301,4835329162,True,,99,5655,99.0,5655.0
55,bookcorpus,2,TP,base,0.05,32,512,512,4,32,132.42186832427979,88.4947,4835329162,True,,99,6085,88.0,6061.0
56,bookcorpus,2,DP,base,0.05,32,1024,512,4,32,180.017906665802,158.6947,4835329162,True,,99,5655,99.0,5655.0
57,bookcorpus,2,TP,base,0.05,32,1024,512,4,32,227.4399836063385,182.4087,4835329162,True,,99,6045,99.0,6093.0
58,bookcorpus,2,DP,base,0.05,64,128,512,4,32,58.97291707992554,38.2008,4835329162,True,,100,10139,100.0,10139.0
59,bookcorpus,2,TP,base,0.05,64,128,512,4,32,81.82089519500732,38.1539,4835329162,True,,100,11453,100.0,11357.0
60,bookcorpus,2,DP,base,0.05,64,512,512,4,32,170.41348147392273,149.0988,4835329162,True,,100,10139,100.0,10139.0
61,bookcorpus,2,TP,base,0.05,64,512,512,4,32,179.9600384235382,135.3567,4835329162,True,,100,11341,100.0,11469.0
62,bookcorpus,2,DP,base,0.05,64,1024,512,4,32,317.4548373222351,296.8758,4835329162,True,,100,10139,100.0,10139.0
63,bookcorpus,2,TP,base,0.05,64,1024,512,4,32,321.8265175819397,278.3566,4835329162,True,,100,11453,100.0,11357.0
64,bookcorpus,2,DP,large,0.05,16,128,1024,8,64,78.11950016021729,51.989,4835329162,True,,99,7745,100.0,7745.0
65,bookcorpus,2,TP,large,0.05,16,128,1024,8,64,91.38038730621338,43.8517,4835329162,True,,99,5105,99.0,5585.0
66,bookcorpus,2,DP,large,0.05,16,512,1024,8,64,231.44243907928467,205.1931,4835329162,True,,100,7745,100.0,7745.0
67,bookcorpus,2,TP,large,0.05,16,512,1024,8,64,215.60319423675537,167.5978,4835329162,True,,99,5119,99.0,5585.0
68,bookcorpus,2,DP,large,0.05,16,1024,1024,8,64,432.92420291900635,407.0683,4835329162,True,,100,7745,100.0,7745.0
69,bookcorpus,2,TP,large,0.05,16,1024,1024,8,64,377.35795426368713,329.367,4835329162,True,,99,5601,100.0,5585.0
70,bookcorpus,2,DP,large,0.05,32,128,1024,8,64,118.56865954399109,91.9074,4835329162,True,,100,11695,100.0,11695.0
71,bookcorpus,2,TP,large,0.05,32,128,1024,8,64,107.12716460227966,59.4895,4835329162,True,,100,8765,100.0,8781.0
72,bookcorpus,2,DP,large,0.05,32,512,1024,8,64,391.2114408016205,364.4288,4835329162,True,,100,11695,100.0,11695.0
73,bookcorpus,2,TP,large,0.05,32,512,1024,8,64,279.7350504398346,231.0196,4835329162,True,,100,8765,100.0,8847.0
74,bookcorpus,2,DP,large,0.05,32,1024,1024,8,64,758.5406477451324,731.6816,4835329162,True,,100,11695,100.0,11695.0
75,bookcorpus,2,TP,large,0.05,32,1024,1024,8,64,511.3644206523895,463.3978,4835329162,True,,100,9745,100.0,8829.0
76,bookcorpus,2,DP,large,0.05,64,128,1024,8,64,202.7786512374878,173.2496,4835329162,True,,100,20269,100.0,20269.0
77,bookcorpus,2,TP,large,0.05,64,128,1024,8,64,161.41434001922607,113.1362,4835329162,True,,100,17163,100.0,17095.0
78,bookcorpus,2,DP,large,0.05,64,512,1024,8,64,721.3089091777802,693.8807,4835329162,True,,100,20269,100.0,20269.0
79,bookcorpus,2,TP,large,0.05,64,512,1024,8,64,495.537965297699,447.6987,4835329162,True,,100,17305,100.0,17347.0
80,bookcorpus,2,DP,large,0.05,64,1024,1024,8,64,1411.5142731666565,1384.5275,4835329162,True,,100,20269,100.0,20269.0
81,bookcorpus,2,TP,large,0.05,64,1024,1024,8,64,944.827780008316,897.0192,4835329162,True,,100,17047,100.0,17089.0
82,pg19,1,SingleGPU,small,0.02,16,128,256,2,16,190.61878848075867,4.7293,11511573599.0,True,,97,2231,,
83,pg19,1,SingleGPU,small,0.02,16,512,256,2,16,24.24283480644226,14.1244,11511573599.0,True,,97,2231,,
84,pg19,1,SingleGPU,small,0.02,16,1024,256,2,16,36.02696442604065,27.3808,11511573599.0,True,,97,2231,,
85,pg19,1,SingleGPU,small,0.02,32,128,256,2,16,15.069099187850952,6.7165,11511573599.0,True,,99,3967,,
86,pg19,1,SingleGPU,small,0.02,32,512,256,2,16,32.88832187652588,24.6636,11511573599.0,True,,99,3967,,
87,pg19,1,SingleGPU,small,0.02,32,1024,256,2,16,56.65815544128418,48.8212,11511573599.0,True,,99,3967,,
88,pg19,1,SingleGPU,small,0.02,64,128,256,2,16,20.40549945831299,12.2827,11511573599.0,True,,100,9307,,
89,pg19,1,SingleGPU,small,0.02,64,512,256,2,16,55.39217972755432,47.3202,11511573599.0,True,,100,9307,,
90,pg19,1,SingleGPU,small,0.02,64,1024,256,2,16,102.81200766563416,94.1753,11511573599.0,True,,100,9307,,
91,pg19,1,SingleGPU,base,0.02,16,128,512,4,32,19.638314723968506,10.1276,11511573599.0,True,,100,3043,,
92,pg19,1,SingleGPU,base,0.02,16,512,512,4,32,47.02026009559631,38.8458,11511573599.0,True,,100,3043,,
93,pg19,1,SingleGPU,base,0.02,16,1024,512,4,32,85.89234685897827,77.0842,11511573599.0,True,,100,3043,,
94,pg19,1,SingleGPU,base,0.02,32,128,512,4,32,27.273353099822998,18.4164,11511573599.0,True,,100,5197,,
95,pg19,1,SingleGPU,base,0.02,32,512,512,4,32,80.24871706962585,72.163,11511573599.0,True,,100,5197,,
96,pg19,1,SingleGPU,base,0.02,32,1024,512,4,32,152.91966462135315,143.7521,11511573599.0,True,,100,5197,,
97,pg19,1,SingleGPU,base,0.02,64,128,512,4,32,44.183343172073364,35.1878,11511573599.0,True,,100,11651,,
98,pg19,1,SingleGPU,base,0.02,64,512,512,4,32,148.7568633556366,139.6682,11511573599.0,True,,100,11651,,
99,pg19,1,SingleGPU,base,0.02,64,1024,512,4,32,288.20272850990295,279.3917,11511573599.0,True,,100,11651,,
100,pg19,1,SingleGPU,large,0.02,16,128,1024,8,64,55.39244723320007,43.4324,11511573599.0,True,,100,7053,,
101,pg19,1,SingleGPU,large,0.02,16,512,1024,8,64,184.08346343040466,173.4979,11511573599.0,True,,100,7053,,
102,pg19,1,SingleGPU,large,0.02,16,1024,1024,8,64,356.2762620449066,345.5781,11511573599.0,True,,100,7053,,
103,pg19,1,SingleGPU,large,0.02,32,128,1024,8,64,93.33216071128845,82.0021,11511573599.0,True,,100,11839,,
104,pg19,1,SingleGPU,large,0.02,32,512,1024,8,64,340.0409016609192,329.003,11511573599.0,True,,100,11839,,
105,pg19,1,SingleGPU,large,0.02,32,1024,1024,8,64,671.7189168930054,660.7304,11511573599.0,True,,100,11839,,
106,pg19,1,SingleGPU,large,0.02,64,128,1024,8,64,173.040376663208,162.351,11511573599.0,True,,100,20407,,
107,pg19,1,SingleGPU,large,0.02,64,512,1024,8,64,663.6918458938599,652.2482,11511573599.0,True,,100,20407,,
108,pg19,1,SingleGPU,large,0.02,64,1024,1024,8,64,1317.1386682987213,1306.0417,11511573599.0,True,,100,20407,,
109,pg19,2,DP,small,0.02,16,128,256,2,16,503.15413784980774,10.4821,11511573599.0,True,,92,2491,93.0,2491.0
110,pg19,2,TP,small,0.02,16,128,256,2,16,481.98715901374817,24.4099,11511573599.0,True,,100,2939,100.0,2975.0
111,pg19,2,DP,small,0.02,16,512,256,2,16,40.363667488098145,18.1393,11511573599.0,True,,93,2491,93.0,2491.0
112,pg19,2,TP,small,0.02,16,512,256,2,16,65.51388716697693,48.5851,11511573599.0,True,,95,2939,93.0,2975.0
113,pg19,2,DP,small,0.02,16,1024,256,2,16,51.069329500198364,34.293,11511573599.0,True,,93,2491,93.0,2491.0
114,pg19,2,TP,small,0.02,16,1024,256,2,16,111.76318192481995,95.7401,11511573599.0,True,,51,2939,100.0,2975.0
115,pg19,2,DP,small,0.02,32,128,256,2,16,24.82445192337036,8.1948,11511573599.0,True,,97,4207,97.0,4207.0
116,pg19,2,TP,small,0.02,32,128,256,2,16,29.404294729232788,13.726,11511573599.0,True,,98,5301,96.0,5357.0
117,pg19,2,DP,small,0.02,32,512,256,2,16,44.24002981185913,28.2401,11511573599.0,True,,97,4207,97.0,4207.0
