experiment_id,dataset,num_gpus,strategy,model_name,dataset_fraction,batch_size,num_iterations,dim,n_layers,n_heads,total_time_s,training_time_s,dataset_size_bytes,success,error_msg,gpu_0_max_util_%,gpu_0_max_mem_mib,gpu_1_max_util_%,gpu_1_max_mem_mib
1,bookcorpus,1,SingleGPU,small,0.05,16,128,256,2,16,34.086248639159265,4.7439,4835329162.0,True,,60,2288,,
2,bookcorpus,1,SingleGPU,small,0.05,16,512,256,2,16,26.13842307152668,21.5259,4835329162.0,True,,109,1893,,
3,bookcorpus,1,SingleGPU,small,0.05,16,1024,256,2,16,37.49578959273925,27.1064,4835329162.0,True,,87,1975,,
4,bookcorpus,1,SingleGPU,small,0.05,32,128,256,2,16,15.39140957421199,6.4609,4835329162.0,True,,91,2738,,
5,bookcorpus,1,SingleGPU,small,0.05,32,512,256,2,16,32.03585117699675,20.2366,4835329162.0,True,,95,3854,,
6,bookcorpus,1,SingleGPU,small,0.05,32,1024,256,2,16,57.07061590925578,41.8264,4835329162.0,True,,100,3703,,
7,bookcorpus,1,SingleGPU,small,0.05,64,128,256,2,16,22.52631670682145,9.8135,4835329162.0,True,,92,5958,,
8,bookcorpus,1,SingleGPU,small,0.05,64,512,256,2,16,58.5158117867993,46.5375,4835329162.0,True,,99,6311,,
9,bookcorpus,1,SingleGPU,small,0.05,64,1024,256,2,16,95.80606993385007,87.6612,4835329162.0,True,,87,7769,,
10,bookcorpus,1,SingleGPU,base,0.05,16,128,512,4,32,24.47014185605972,11.4649,4835329162.0,True,,94,2624,,
11,bookcorpus,1,SingleGPU,base,0.05,16,512,512,4,32,48.93083872789683,40.4168,4835329162.0,True,,95,2540,,
12,bookcorpus,1,SingleGPU,base,0.05,16,1024,512,4,32,76.67267214257515,84.2011,4835329162.0,True,,87,3042,,
13,bookcorpus,1,SingleGPU,base,0.05,32,128,512,4,32,24.11376417291249,15.7157,4835329162.0,True,,99,4540,,
14,bookcorpus,1,SingleGPU,base,0.05,32,512,512,4,32,71.14088557939189,66.3236,4835329162.0,True,,90,5359,,
15,bookcorpus,1,SingleGPU,base,0.05,32,1024,512,4,32,130.88451943669338,127.1598,4835329162.0,True,,90,5092,,
16,bookcorpus,1,SingleGPU,base,0.05,64,128,512,4,32,43.321141163047415,36.473,4835329162.0,True,,81,9321,,
17,bookcorpus,1,SingleGPU,base,0.05,64,512,512,4,32,113.67950961876426,130.2814,4835329162.0,True,,92,9387,,
18,bookcorpus,1,SingleGPU,base,0.05,64,1024,512,4,32,288.87983163585346,270.247,4835329162.0,True,,78,7488,,
19,bookcorpus,1,SingleGPU,large,0.05,16,128,1028,8,64,73.53282041292789,41.32,4835329162.0,True,,97,7115,,
20,bookcorpus,1,SingleGPU,large,0.05,16,512,1028,8,64,162.1687536971055,162.0752,4835329162.0,True,,88,5023,,
21,bookcorpus,1,SingleGPU,large,0.05,16,1024,1028,8,64,352.48908446817023,311.805,4835329162.0,True,,110,6362,,
22,bookcorpus,1,SingleGPU,large,0.05,32,128,1028,8,64,85.04017139622574,60.7612,4835329162.0,True,,99,10209,,
23,bookcorpus,1,SingleGPU,large,0.05,32,512,1028,8,64,334.7082131341232,301.4571,4835329162.0,True,,82,9231,,
24,bookcorpus,1,SingleGPU,large,0.05,32,1024,1028,8,64,666.6693053552037,549.6777,4835329162.0,True,,96,10795,,
25,bookcorpus,1,SingleGPU,large,0.05,64,128,1028,8,64,165.22521430585232,136.8674,4835329162.0,True,,84,14869,,
26,bookcorpus,1,SingleGPU,large,0.05,64,512,1028,8,64,638.907891614436,643.1698,4835329162.0,True,,108,15754,,
27,bookcorpus,1,SingleGPU,large,0.05,64,1024,1028,8,64,1187.9147432037669,1147.4461,4835329162.0,True,,78,17729,,
28,bookcorpus,2,DP,small,0.05,16,128,256,2,16,34.33682006543729,5.9835,4835329162.0,True,,88,2119,92.0,2218.0
29,bookcorpus,2,TP,small,0.05,16,128,256,2,16,57.94460068168606,13.6603,4835329162.0,True,,37,2489,76.0,2940.0
30,bookcorpus,2,DP,small,0.05,16,512,256,2,16,39.514660258892405,21.111,4835329162.0,True,,87,1995,76.0,2750.0
31,bookcorpus,2,TP,small,0.05,16,512,256,2,16,88.08097923628759,54.1763,4835329162.0,True,,77,2744,73.0,2467.0
32,bookcorpus,2,DP,small,0.05,16,1024,256,2,16,58.07586662588433,35.5698,4835329162.0,True,,84,1979,90.0,2273.0
33,bookcorpus,2,TP,small,0.05,16,1024,256,2,16,143.87191860908726,93.8952,4835329162.0,True,,84,2806,65.0,2573.0
34,bookcorpus,2,DP,small,0.05,32,128,256,2,16,26.91624557634125,8.6948,4835329162.0,True,,89,3367,88.0,4012.0
35,bookcorpus,2,TP,small,0.05,32,128,256,2,16,53.33808380729412,14.1222,4835329162.0,True,,79,3929,82.0,4082.0
36,bookcorpus,2,DP,small,0.05,32,512,256,2,16,46.77738337207616,27.2466,4835329162.0,True,,82,3590,104.0,3610.0
37,bookcorpus,2,TP,small,0.05,32,512,256,2,16,77.31251667475178,48.3926,4835329162.0,True,,80,4689,88.0,4706.0
38,bookcorpus,2,DP,small,0.05,32,1024,256,2,16,87.23654272854957,59.3329,4835329162.0,True,,104,3593,96.0,3389.0
39,bookcorpus,2,TP,small,0.05,32,1024,256,2,16,140.4272765941583,113.1438,4835329162.0,True,,93,4001,70.0,4972.0
40,bookcorpus,2,DP,small,0.05,64,128,256,2,16,33.71262800433128,13.2543,4835329162.0,True,,91,6571,83.0,7087.0
41,bookcorpus,2,TP,small,0.05,64,128,256,2,16,64.85444801200526,21.1754,4835329162.0,True,,72,8429,81.0,9038.0
42,bookcorpus,2,DP,small,0.05,64,512,256,2,16,72.89661681350013,59.5559,4835329162.0,True,,89,8140,95.0,6154.0
43,bookcorpus,2,TP,small,0.05,64,512,256,2,16,110.95122645018114,61.8893,4835329162.0,True,,92,6994,76.0,7365.0
44,bookcorpus,2,DP,small,0.05,64,1024,256,2,16,121.58232512648964,100.7313,4835329162.0,True,,101,7037,97.0,7401.0
45,bookcorpus,2,TP,small,0.05,64,1024,256,2,16,190.73022496315542,140.8922,4835329162.0,True,,77,10531,101.0,9522.0
46,bookcorpus,2,DP,base,0.05,16,128,512,4,32,28.016535638637436,11.3355,4835329162.0,True,,96,3482,80.0,2792.0
47,bookcorpus,2,TP,base,0.05,16,128,512,4,32,61.91063599488789,21.4954,4835329162.0,True,,70,2858,92.0,3186.0
48,bookcorpus,2,DP,base,0.05,16,512,512,4,32,66.09144651092558,43.4637,4835329162.0,True,,88,3589,84.0,2638.0
49,bookcorpus,2,TP,base,0.05,16,512,512,4,32,123.81908943503524,97.0351,4835329162.0,True,,101,2945,103.0,2984.0
50,bookcorpus,2,DP,base,0.05,16,1024,512,4,32,114.55649719234604,81.5975,4835329162.0,True,,97,4151,102.0,3109.0
51,bookcorpus,2,TP,base,0.05,16,1024,512,4,32,197.4897359226759,155.1006,4835329162.0,True,,107,3202,70.0,3349.0
52,bookcorpus,2,DP,base,0.05,32,128,512,4,32,38.52698697580456,20.0392,4835329162.0,True,,83,4814,87.0,4546.0
