dataset,num_cores,n_estimators,max_depth,training_time_s,data_fraction,actual_samples
covtype,1,100,6,15.605988502502441,0.25,145253
covtype,1,100,10,22.292641162872314,0.25,145253
covtype,1,500,6,77.7300877571106,0.25,145253
covtype,1,500,10,104.9590528011322,0.25,145253
covtype,5,100,6,4.110850811004639,0.25,145253
covtype,5,100,10,6.272639513015747,0.25,145253
covtype,5,500,6,22.454266786575317,0.25,145253
covtype,5,500,10,30.08562970161438,0.25,145253
covtype,10,100,6,4.041686773300171,0.25,145253
covtype,10,100,10,6.010574102401733,0.25,145253
covtype,10,500,6,20.332218170166016,0.25,145253
covtype,10,500,10,28.257084846496582,0.25,145253
covtype,15,100,6,3.262348175048828,0.25,145253
covtype,15,100,10,4.998020172119141,0.25,145253
covtype,15,500,6,16.249005794525146,0.25,145253
covtype,15,500,10,23.563864707946777,0.25,145253
covtype,20,100,6,3.342484951019287,0.25,145253
covtype,20,100,10,4.696000576019287,0.25,145253
covtype,20,500,6,15.677973508834839,0.25,145253
covtype,20,500,10,22.107165575027466,0.25,145253
covtype,1,100,6,31.800511360168457,0.5,290506
covtype,1,100,10,41.95537257194519,0.5,290506
covtype,1,500,6,156.560302734375,0.5,290506
covtype,1,500,10,206.04883122444153,0.5,290506
covtype,5,100,6,8.227428674697876,0.5,290506
covtype,5,100,10,11.11552906036377,0.5,290506
covtype,5,500,6,40.79640316963196,0.5,290506
covtype,5,500,10,54.96001386642456,0.5,290506
covtype,10,100,6,6.835947751998901,0.5,290506
covtype,10,100,10,12.713407754898071,0.5,290506
covtype,10,500,6,39.93818211555481,0.5,290506
covtype,10,500,10,50.35066771507263,0.5,290506
covtype,15,100,6,5.68125057220459,0.5,290506
covtype,15,100,10,8.324272394180298,0.5,290506
covtype,15,500,6,29.484731435775757,0.5,290506
covtype,15,500,10,41.50834560394287,0.5,290506
covtype,20,100,6,5.10746955871582,0.5,290506
covtype,20,100,10,8.000577449798584,0.5,290506
covtype,20,500,6,25.161052942276,0.5,290506
covtype,20,500,10,36.264954805374146,0.5,290506
covtype,1,100,6,57.31924295425415,1.0,581012
covtype,1,100,10,75.5584967136383,1.0,581012
covtype,1,500,6,297.7726719379425,1.0,581012
covtype,1,500,10,392.05933690071106,1.0,581012
covtype,5,100,6,14.71861457824707,1.0,581012
covtype,5,100,10,19.55557084083557,1.0,581012
covtype,5,500,6,76.99319624900818,1.0,581012
covtype,5,500,10,100.60601782798767,1.0,581012
covtype,10,100,6,13.422602415084839,1.0,581012
covtype,10,100,10,18.071296215057373,1.0,581012
covtype,10,500,6,67.71273016929626,1.0,581012
covtype,10,500,10,90.40008854866028,1.0,581012
covtype,15,100,6,9.743541479110718,1.0,581012
covtype,15,100,10,15.3751540184021,1.0,581012
covtype,15,500,6,57.166746616363525,1.0,581012
covtype,15,500,10,68.09605693817139,1.0,581012
covtype,20,100,6,8.648935317993164,1.0,581012
covtype,20,100,10,11.884538173675537,1.0,581012
covtype,20,500,6,42.36880826950073,1.0,581012
covtype,20,500,10,57.79786682128906,1.0,581012
microsoft,1,100,6,43.28728461265564,0.25,180853
microsoft,1,100,10,112.58473420143127,0.25,180853
microsoft,1,500,6,185.54240679740906,0.25,180853
microsoft,1,500,10,463.2733495235443,0.25,180853
microsoft,5,100,6,13.667231559753418,0.25,180853
microsoft,5,100,10,39.11528468132019,0.25,180853
microsoft,5,500,6,60.72110104560852,0.25,180853
microsoft,5,500,10,142.87744784355164,0.25,180853
microsoft,10,100,6,11.819494009017944,0.25,180853
microsoft,10,100,10,28.424136877059937,0.25,180853
microsoft,10,500,6,48.648736238479614,0.25,180853
microsoft,10,500,10,117.28479099273682,0.25,180853
microsoft,15,100,6,9.373286485671997,0.25,180853
microsoft,15,100,10,23.96864676475525,0.25,180853
microsoft,15,500,6,42.866751194000244,0.25,180853
microsoft,15,500,10,104.38020777702332,0.25,180853
microsoft,20,100,6,7.792084693908691,0.25,180853
microsoft,20,100,10,21.397314071655273,0.25,180853
microsoft,20,500,6,35.66435670852661,0.25,180853
microsoft,20,500,10,92.23152160644531,0.25,180853
microsoft,1,100,6,80.56092309951782,0.5,361706
microsoft,1,100,10,172.95649600028992,0.5,361706
microsoft,1,500,6,347.7657332420349,0.5,361706
microsoft,1,500,10,738.9847469329834,0.5,361706
microsoft,5,100,6,26.243382453918457,0.5,361706
microsoft,5,100,10,50.15940260887146,0.5,361706
microsoft,5,500,6,106.5336127281189,0.5,361706
microsoft,5,500,10,216.19544768333435,0.5,361706
microsoft,10,100,6,20.25327181816101,0.5,361706
microsoft,10,100,10,43.51071286201477,0.5,361706
microsoft,10,500,6,67.03760647773743,0.5,361706
microsoft,10,500,10,185.5727722644806,0.5,361706
microsoft,15,100,6,15.499313592910767,0.5,361706
microsoft,15,100,10,34.75686526298523,0.5,361706
microsoft,15,500,6,67.7284426689148,0.5,361706
microsoft,15,500,10,150.50493955612183,0.5,361706
microsoft,20,100,6,12.692618131637573,0.5,361706
microsoft,20,100,10,30.09816861152649,0.5,361706
microsoft,20,500,6,55.6030056476593,0.5,361706
microsoft,20,500,10,131.71975660324097,0.5,361706
microsoft,1,100,6,140.96193480491638,1.0,723412
microsoft,1,100,10,282.52443289756775,1.0,723412
microsoft,1,500,6,582.6180393695831,1.0,723412
microsoft,1,500,10,1169.4946897029877,1.0,723412
microsoft,5,100,6,45.41309213638306,1.0,723412
microsoft,5,100,10,78.06870746612549,1.0,723412
microsoft,5,500,6,184.9172055721283,1.0,723412
microsoft,5,500,10,328.5091755390167,1.0,723412
microsoft,10,100,6,38.19887399673462,1.0,723412
microsoft,10,100,10,69.37293314933777,1.0,723412
microsoft,10,500,6,158.32028937339783,1.0,723412
microsoft,10,500,10,245.92613244056702,1.0,723412
microsoft,15,100,6,28.781822681427002,1.0,723412
microsoft,15,100,10,52.66920590400696,1.0,723412
microsoft,15,500,6,118.23464727401733,1.0,723412
microsoft,15,500,10,225.51096272468567,1.0,723412
microsoft,20,100,6,22.47667098045349,1.0,723412
microsoft,20,100,10,45.44135308265686,1.0,723412
microsoft,20,500,6,95.25624108314514,1.0,723412
microsoft,20,500,10,195.0662932395935,1.0,723412
susy,1,100,6,16.787898540496826,0.25,1250000
susy,1,100,10,23.764097452163696,0.25,1250000
susy,1,500,6,57.23344421386719,0.25,1250000
susy,1,500,10,97.63631343841553,0.25,1250000
susy,5,100,6,4.370825529098511,0.25,1250000
susy,5,100,10,6.31305193901062,0.25,1250000
susy,5,500,6,13.54751706123352,0.25,1250000
susy,5,500,10,26.063798666000366,0.25,1250000
susy,10,100,6,3.759713888168335,0.25,1250000
susy,10,100,10,6.02294397354126,0.25,1250000
susy,10,500,6,14.059733629226685,0.25,1250000
susy,10,500,10,24.829354763031006,0.25,1250000
susy,15,100,6,2.952599048614502,0.25,1250000
susy,15,100,10,4.860863208770752,0.25,1250000
susy,15,500,6,10.654592275619507,0.25,1250000
susy,15,500,10,19.618969678878784,0.25,1250000
