dataset,num_cores,n_estimators,max_depth,training_time_s,data_fraction,actual_samples
covtype,1,100,6,15.887862205505371,0.25,145253
covtype,1,100,10,22.37801480293274,0.25,145253
covtype,1,500,6,78.25059270858765,0.25,145253
covtype,1,500,10,105.29818844795227,0.25,145253
covtype,5,100,6,6.516056299209595,0.25,145253
covtype,5,100,10,6.6450700759887695,0.25,145253
covtype,5,500,6,21.972191095352173,0.25,145253
covtype,5,500,10,29.90344476699829,0.25,145253
covtype,10,100,6,4.1216418743133545,0.25,145253
covtype,10,100,10,6.44109034538269,0.25,145253
covtype,10,500,6,21.495775938034058,0.25,145253
covtype,10,500,10,30.762864112854004,0.25,145253
covtype,15,100,6,3.420351982116699,0.25,145253
covtype,15,100,10,5.377536058425903,0.25,145253
covtype,15,500,6,16.524664402008057,0.25,145253
covtype,15,500,10,23.98318648338318,0.25,145253
covtype,20,100,6,3.054752826690674,0.25,145253
covtype,20,100,10,4.70161247253418,0.25,145253
covtype,20,500,6,15.090857028961182,0.25,145253
covtype,20,500,10,21.903181314468384,0.25,145253
covtype,1,100,6,32.093594789505005,0.5,290506
covtype,1,100,10,42.14998459815979,0.5,290506
covtype,1,500,6,165.55292010307312,0.5,290506
covtype,1,500,10,206.8623263835907,0.5,290506
covtype,5,100,6,8.302238464355469,0.5,290506
covtype,5,100,10,11.420320272445679,0.5,290506
covtype,5,500,6,41.10801148414612,0.5,290506
covtype,5,500,10,56.1037232875824,0.5,290506
covtype,10,100,6,7.419733285903931,0.5,290506
covtype,10,100,10,10.47623085975647,0.5,290506
covtype,10,500,6,39.34863781929016,0.5,290506
covtype,10,500,10,53.02166485786438,0.5,290506
covtype,15,100,6,5.86244797706604,0.5,290506
covtype,15,100,10,8.495701313018799,0.5,290506
covtype,15,500,6,29.592743635177612,0.5,290506
covtype,15,500,10,41.92028284072876,0.5,290506
covtype,20,100,6,5.059427976608276,0.5,290506
covtype,20,100,10,8.000984907150269,0.5,290506
covtype,20,500,6,26.57954740524292,0.5,290506
covtype,20,500,10,36.38681626319885,0.5,290506
covtype,1,100,6,58.86842441558838,1.0,581012
covtype,1,100,10,76.08710503578186,1.0,581012
covtype,1,500,6,307.92269682884216,1.0,581012
covtype,1,500,10,393.45575737953186,1.0,581012
covtype,5,100,6,15.632173776626587,1.0,581012
covtype,5,100,10,20.164053916931152,1.0,581012
covtype,5,500,6,75.22709083557129,1.0,581012
covtype,5,500,10,102.27164196968079,1.0,581012
covtype,10,100,6,13.87344479560852,1.0,581012
covtype,10,100,10,18.54547643661499,1.0,581012
covtype,10,500,6,71.70695638656616,1.0,581012
covtype,10,500,10,95.22685861587524,1.0,581012
covtype,15,100,6,10.410966873168945,1.0,581012
covtype,15,100,10,17.825597286224365,1.0,581012
covtype,15,500,6,68.20955896377563,1.0,581012
covtype,15,500,10,71.4921612739563,1.0,581012
covtype,20,100,6,8.601093769073486,1.0,581012
covtype,20,100,10,12.02929425239563,1.0,581012
covtype,20,500,6,42.627695083618164,1.0,581012
covtype,20,500,10,59.71087121963501,1.0,581012
microsoft,1,100,6,49.56630897521973,0.25,180853
microsoft,1,100,10,114.00236129760742,0.25,180853
