dataset,num_gpus,num_boost_round,max_depth,training_time_s,data_fraction,actual_samples,gpu_0_max_util_%,gpu_0_max_mem_mib,gpu_1_max_util_%,gpu_1_max_mem_mib
covtype,1,500,6,11.172042608261108,0.25,145253,64,1167,,
covtype,1,500,10,16.440529108047485,0.25,145253,76,1169,,
covtype,1,1000,6,17.343144178390503,0.25,145253,63,1167,,
covtype,1,1000,10,27.783005952835083,0.25,145253,74,1169,,
covtype,2,500,6,121.77266216278076,0.25,145253,11,805,24.0,507.0
covtype,2,500,10,192.74102354049683,0.25,145253,46,817,48.0,505.0
covtype,2,1000,6,237.9379060268402,0.25,145253,23,813,11.0,499.0
covtype,2,1000,10,368.6432988643646,0.25,145253,33,809,50.0,509.0
covtype,1,500,6,13.146010398864746,0.5,290506,61,1199,,
covtype,1,500,10,23.20568299293518,0.5,290506,73,1201,,
covtype,1,1000,6,24.57957410812378,0.5,290506,60,1199,,
covtype,1,1000,10,39.24208903312683,0.5,290506,70,1201,,
covtype,2,500,6,121.7023618221283,0.5,290506,35,827,21.0,511.0
covtype,2,500,10,198.34104704856873,0.5,290506,40,819,56.0,523.0
covtype,2,1000,6,240.3133442401886,0.5,290506,34,817,46.0,521.0
covtype,2,1000,10,381.3186492919922,0.5,290506,46,821,72.0,525.0
covtype,1,500,6,17.259841680526733,1.0,581012,65,1253,,
covtype,1,500,10,30.322767734527588,1.0,581012,79,1257,,
covtype,1,1000,6,31.40921664237976,1.0,581012,67,1253,,
covtype,1,1000,10,53.46856379508972,1.0,581012,75,1257,,
covtype,2,500,6,121.19924020767212,1.0,581012,23,827,83.0,561.0
covtype,2,500,10,201.3336443901062,1.0,581012,35,831,90.0,565.0
covtype,2,1000,6,239.24815106391907,1.0,581012,84,867,24.0,521.0
covtype,2,1000,10,392.4010555744171,1.0,581012,36,831,90.0,565.0
microsoft,1,500,6,11.21658205986023,0.25,180853,67,1187,,
microsoft,1,500,10,25.850629806518555,0.25,180853,81,1673,,
microsoft,1,1000,6,19.578404426574707,0.25,180853,65,1187,,
microsoft,1,1000,10,46.5833477973938,0.25,180853,82,1673,,
microsoft,2,500,6,87.13742184638977,0.25,180853,23,811,75.0,521.0
microsoft,2,500,10,150.8998155593872,0.25,180853,50,1297,91.0,1009.0
microsoft,2,1000,6,172.10662078857422,0.25,180853,29,811,73.0,521.0
microsoft,2,1000,10,291.9354736804962,0.25,180853,52,1297,93.0,1009.0
microsoft,1,500,6,16.008031368255615,0.5,361706,62,1229,,
microsoft,1,500,10,34.17454242706299,0.5,361706,82,1717,,
microsoft,1,1000,6,29.464313745498657,0.5,361706,62,1229,,
microsoft,1,1000,10,63.28414034843445,0.5,361706,83,1717,,
microsoft,2,500,6,89.60586476325989,0.5,361706,30,831,53.0,733.0
microsoft,2,500,10,156.0192310810089,0.5,361706,71,1319,91.0,1031.0
microsoft,2,1000,6,172.3318476676941,0.5,361706,84,855,32.0,519.0
microsoft,2,1000,10,306.7858121395111,0.5,361706,92,1337,58.0,1013.0
microsoft,1,500,6,22.52247905731201,1.0,723412,71,1311,,
microsoft,1,500,10,46.86241126060486,1.0,723412,84,1799,,
microsoft,1,1000,6,40.81899046897888,1.0,723412,72,1311,,
microsoft,1,1000,10,86.57048511505127,1.0,723412,84,1799,,
microsoft,2,500,6,93.62215209007263,1.0,723412,79,897,27.0,561.0
microsoft,2,500,10,166.16854882240295,1.0,723412,92,1385,57.0,1049.0
microsoft,2,1000,6,181.002779006958,1.0,723412,82,897,39.0,561.0
microsoft,2,1000,10,323.7670314311981,1.0,723412,92,1385,80.0,1049.0
susy,1,500,6,4.974619388580322,0.25,1249999,69,1215,,
susy,1,500,10,8.240604877471924,0.25,1249999,83,1317,,
susy,1,1000,6,6.119279623031616,0.25,1249999,70,1475,,
susy,1,1000,10,15.604592323303223,0.25,1249999,81,1311,,
susy,2,500,6,20.62620186805725,0.25,1249999,44,839,18.0,531.0
susy,2,500,10,35.08331751823425,0.25,1249999,38,935,47.0,629.0
susy,2,1000,6,37.85036492347717,0.25,1249999,29,837,50.0,533.0
susy,2,1000,10,66.96817255020142,0.25,1249999,61,935,51.0,627.0
susy,1,500,6,5.740148305892944,0.5,2500000,78,1277,,
susy,1,500,10,10.90779709815979,0.5,2500000,87,1385,,
susy,1,1000,6,8.714655876159668,0.5,2500000,78,1277,,
susy,1,1000,10,19.274832487106323,0.5,2500000,86,1375,,
susy,2,500,6,21.171444177627563,0.5,2500000,19,839,82.0,589.0
susy,2,500,10,35.8472638130188,0.5,2500000,46,949,89.0,673.0
susy,2,1000,6,37.77364182472229,0.5,2500000,81,1067,19.0,541.0
susy,2,1000,10,68.48120951652527,0.5,2500000,67,937,90.0,691.0
susy,1,500,6,8.44946551322937,1.0,5000000,87,1409,,
susy,1,500,10,14.735798835754395,1.0,5000000,91,1527,,
susy,1,1000,6,13.506300687789917,1.0,5000000,86,1877,,
susy,1,1000,10,26.538930416107178,1.0,5000000,90,2565,,
susy,2,500,6,23.007896184921265,1.0,5000000,72,1189,28.0,799.0
susy,2,500,10,37.396543979644775,1.0,5000000,60,1065,92.0,1251.0
susy,2,1000,6,40.62226724624634,1.0,5000000,84,1049,32.0,535.0
susy,2,1000,10,72.45002770423889,1.0,5000000,91,1365,65.0,655.0
taxis_usa,1,500,6,6.490628004074097,0.25,3187245,78,1345,,
taxis_usa,1,500,10,10.200289011001587,0.25,3187245,85,1333,,
taxis_usa,1,1000,6,9.08094072341919,0.25,3187245,78,2091,,
taxis_usa,1,1000,10,19.047821283340454,0.25,3187245,87,2091,,
taxis_usa,2,500,6,22.2675142288208,0.25,3187245,39,881,43.0,589.0
taxis_usa,2,500,10,35.94973587989807,0.25,3187245,51,865,85.0,629.0
taxis_usa,2,1000,6,39.184157371520996,0.25,3187245,26,847,77.0,633.0
taxis_usa,2,1000,10,67.2676773071289,0.25,3187245,40,901,90.0,633.0
taxis_usa,1,500,6,10.26483941078186,0.5,6374493,89,1529,,
taxis_usa,1,500,10,15.73926305770874,0.5,6374493,92,1505,,
taxis_usa,1,1000,6,14.333288669586182,0.5,6374493,87,1529,,
taxis_usa,1,1000,10,26.43525266647339,0.5,6374493,90,1531,,
taxis_usa,2,500,6,23.790857791900635,0.5,6374493,77,1053,33.0,589.0
taxis_usa,2,500,10,38.47457695007324,0.5,6374493,57,931,78.0,753.0
taxis_usa,2,1000,6,41.99200797080994,0.5,6374493,45,975,76.0,1275.0
taxis_usa,2,1000,10,71.50184392929077,0.5,6374493,68,1169,88.0,1267.0
taxis_usa,1,500,6,17.802497148513794,1.0,12748986,92,3517,,
taxis_usa,1,500,10,24.00428557395935,1.0,12748986,95,5007,,
taxis_usa,1,1000,6,26.033552646636963,1.0,12748986,94,3517,,
taxis_usa,1,1000,10,38.45083260536194,1.0,12748986,94,3157,,
taxis_usa,2,500,6,29.91769242286682,1.0,12748986,79,1347,52.0,673.0
taxis_usa,2,500,10,43.265668869018555,1.0,12748986,90,2687,56.0,661.0
taxis_usa,2,1000,6,49.958203077316284,1.0,12748986,83,2129,52.0,1141.0
taxis_usa,2,1000,10,78.02247190475464,1.0,12748986,60,1025,78.0,1075.0
yearprediction,1,500,6,3.2100393772125244,0.25,128837,68,1159,,
yearprediction,1,500,10,10.028491497039795,0.25,128837,88,1647,,
yearprediction,1,1000,6,4.827765703201294,0.25,128837,66,1159,,
yearprediction,1,1000,10,16.93280863761902,0.25,128837,87,1647,,
yearprediction,2,500,6,19.338741302490234,0.25,128837,17,803,30.0,499.0
yearprediction,2,500,10,36.575053215026855,0.25,128837,85,1293,72.0,985.0
yearprediction,2,1000,6,36.87172293663025,0.25,128837,36,803,23.0,497.0
yearprediction,2,1000,10,65.51057529449463,0.25,128837,68,1291,57.0,985.0
yearprediction,1,500,6,4.2956178188323975,0.5,257673,72,1177,,
yearprediction,1,500,10,11.471035718917847,0.5,257673,88,1665,,
yearprediction,1,1000,6,6.207572937011719,0.5,257673,75,1177,,
yearprediction,1,1000,10,20.877981424331665,0.5,257673,88,2177,,
yearprediction,2,500,6,20.137341260910034,0.5,257673,22,809,36.0,509.0
yearprediction,2,500,10,37.229278802871704,0.5,257673,85,1297,84.0,997.0
