dataset,num_gpus,num_boost_round,max_depth,training_time_s,data_fraction,actual_samples,gpu_0_max_util_%,gpu_0_max_mem_mib,gpu_1_max_util_%,gpu_1_max_mem_mib
covtype,1,500,6,12.371649503707886,0.25,145253,65,1167,,
covtype,1,500,10,15.562610626220703,0.25,145253,76,1169,,
covtype,1,1000,6,16.38276696205139,0.25,145253,66,1167,,
covtype,1,1000,10,26.886244297027588,0.25,145253,76,1169,,
covtype,2,500,6,121.54150676727295,0.25,145253,34,813,11.0,499.0
covtype,2,500,10,192.77874207496643,0.25,145253,40,815,38.0,503.0
covtype,2,1000,6,238.003413438797,0.25,145253,23,813,14.0,499.0
covtype,2,1000,10,366.5104341506958,0.25,145253,37,811,41.0,511.0
covtype,1,500,6,17.425997734069824,0.5,290506,56,1199,,
covtype,1,500,10,27.116700410842896,0.5,290506,66,1201,,
covtype,1,1000,6,31.11937975883484,0.5,290506,56,1199,,
covtype,1,1000,10,48.49197578430176,0.5,290506,69,1201,,
covtype,2,500,6,121.97154474258423,0.5,290506,41,827,24.0,511.0
covtype,2,500,10,197.2857391834259,0.5,290506,64,829,42.0,513.0
covtype,2,1000,6,240.46245002746582,0.5,290506,35,817,40.0,559.0
covtype,2,1000,10,381.0234704017639,0.5,290506,50,821,67.0,525.0
covtype,1,500,6,20.89622449874878,1.0,581012,54,1253,,
covtype,1,500,10,34.20099711418152,1.0,581012,71,1257,,
covtype,1,1000,6,33.14326024055481,1.0,581012,66,1253,,
covtype,1,1000,10,52.57077693939209,1.0,581012,74,1257,,
covtype,2,500,6,121.27509069442749,1.0,581012,83,893,23.0,521.0
covtype,2,500,10,204.04621243476868,1.0,581012,29,831,91.0,565.0
covtype,2,1000,6,241.2703971862793,1.0,581012,81,867,25.0,521.0
covtype,2,1000,10,394.48933005332947,1.0,581012,90,871,44.0,525.0
microsoft,1,500,6,11.01257586479187,0.25,180853,67,1187,,
microsoft,1,500,10,26.03490686416626,0.25,180853,83,1673,,
microsoft,1,1000,6,20.115923166275024,0.25,180853,67,1187,,
microsoft,1,1000,10,45.88818097114563,0.25,180853,83,1673,,
microsoft,2,500,6,87.31902694702148,0.25,180853,29,811,79.0,521.0
microsoft,2,500,10,150.69989562034607,0.25,180853,51,1297,92.0,1009.0
microsoft,2,1000,6,174.4115607738495,0.25,180853,30,813,43.0,519.0
microsoft,2,1000,10,291.9117569923401,0.25,180853,44,1297,92.0,1009.0
microsoft,1,500,6,18.635756015777588,0.5,361706,58,1229,,
microsoft,1,500,10,35.29523801803589,0.5,361706,83,1717,,
microsoft,1,1000,6,34.58736777305603,0.5,361706,61,1229,,
microsoft,1,1000,10,64.94257760047913,0.5,361706,82,1717,,
microsoft,2,500,6,89.31018590927124,0.5,361706,57,849,28.0,525.0
microsoft,2,500,10,157.05500149726868,0.5,361706,48,1319,94.0,1031.0
microsoft,2,1000,6,175.27384614944458,0.5,361706,66,849,29.0,525.0
microsoft,2,1000,10,304.8835735321045,0.5,361706,48,1319,92.0,1031.0
microsoft,1,500,6,22.158334255218506,1.0,723412,87,1311,,
microsoft,1,500,10,46.55283570289612,1.0,723412,83,1795,,
microsoft,1,1000,6,40.404380083084106,1.0,723412,71,1479,,
microsoft,1,1000,10,85.67683792114258,1.0,723412,84,1799,,
microsoft,2,500,6,92.93371987342834,1.0,723412,34,999,77.0,1007.0
microsoft,2,500,10,165.2195906639099,1.0,723412,92,1611,65.0,1049.0
microsoft,2,1000,6,181.58146452903748,1.0,723412,33,867,80.0,591.0
microsoft,2,1000,10,324.46626353263855,1.0,723412,79,1355,93.0,1079.0
susy,1,500,6,5.0620810985565186,0.25,1249999,69,1215,,
susy,1,500,10,8.791542291641235,0.25,1249999,81,1317,,
susy,1,1000,6,6.094775915145874,0.25,1249999,71,1221,,
susy,1,1000,10,15.617857456207275,0.25,1249999,83,1311,,
susy,2,500,6,19.77247428894043,0.25,1249999,21,819,51.0,541.0
susy,2,500,10,33.8938512802124,0.25,1249999,39,921,67.0,631.0
susy,2,1000,6,37.88491415977478,0.25,1249999,23,821,43.0,535.0
susy,2,1000,10,66.70092225074768,0.25,1249999,78,939,53.0,627.0
susy,1,500,6,5.774298429489136,0.5,2500000,78,1277,,
susy,1,500,10,10.437773942947388,0.5,2500000,89,1375,,
susy,1,1000,6,8.179598331451416,0.5,2500000,79,1287,,
susy,1,1000,10,19.31806969642639,0.5,2500000,88,1385,,
susy,2,500,6,20.912537336349487,0.5,2500000,20,849,66.0,693.0
susy,2,500,10,35.69879961013794,0.5,2500000,58,945,90.0,673.0
susy,2,1000,6,37.973982095718384,0.5,2500000,82,901,18.0,541.0
susy,2,1000,10,67.77820825576782,0.5,2500000,60,943,91.0,945.0
susy,1,500,6,8.975181818008423,1.0,5000000,86,2005,,
susy,1,500,10,15.14979887008667,1.0,5000000,91,1507,,
susy,1,1000,6,13.138731956481934,1.0,5000000,88,1429,,
susy,1,1000,10,26.007490396499634,1.0,5000000,91,1527,,
